"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
334,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,668,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108070652908,5842108070660095,5842108070739935,5842108070740437,79840
335,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,670,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108070753763,5842108070760736,5842108070858976,5842108070859377,98240
336,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,672,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108070872663,5842108070879617,5842108070959617,5842108070959991,80000
337,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,674,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108070973217,5842108070979937,5842108071059618,5842108071059965,79681
338,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,676,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108071074102,5842108071081058,5842108071180099,5842108071180508,99041
339,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,678,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108071195396,5842108071203779,5842108071301700,5842108071302063,97921
340,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,680,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108071315709,5842108071322500,5842108071420741,5842108071421183,98241
341,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,682,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108071434809,5842108071441701,5842108071539622,5842108071540063,97921
342,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,684,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108071553468,5842108071560102,5842108071658343,5842108071658872,98241
343,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,686,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108071676456,5842108071684423,5842108071781864,5842108071782311,97441
344,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,688,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108071796057,5842108071802824,5842108071882345,5842108071882685,79521
345,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,690,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108071896171,5842108071902985,5842108072001226,5842108072001605,98241
346,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,692,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108072016944,5842108072025226,5842108072124107,5842108072124562,98881
347,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,694,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108072138018,5842108072145067,5842108072243308,5842108072243783,98241
348,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,696,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108072257459,5842108072264268,5842108072343629,5842108072344086,79361
349,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,698,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842108072358795,5842108072367309,5842108072464750,5842108072465371,97441
